date,longitude,latitude,level,expver,o3,t,OT
1949/9/1,104,0.5,10,1,1.61E-05,235.31548,11.391737
1949/10/1,104,0.5,10,1,1.58E-05,234.68472,13.658211
1949/11/1,104,0.5,10,1,1.51E-05,234.50339,21.327997
1949/12/1,104,0.5,10,1,1.51E-05,231.30312,19.548456
1950/1/1,104,0.5,10,1,1.46E-05,233.50365,13.521776
1950/2/1,104,0.5,10,1,1.50E-05,231.31178,10.153233
1950/3/1,104,0.5,10,1,1.53E-05,233.18826,15.035503
1950/4/1,104,0.5,10,1,1.53E-05,235.075,13.906382
1950/5/1,104,0.5,10,1,1.54E-05,233.4043,-1.105041
1950/6/1,104,0.5,10,1,1.56E-05,233.01007,-18.834587
1950/7/1,104,0.5,10,1,1.59E-05,234.16672,-20.117785
1950/8/1,104,0.5,10,1,1.60E-05,235.3407,-14.933241
1950/9/1,104,0.5,10,1,1.59E-05,237.02954,-10.169763
1950/10/1,104,0.5,10,1,1.53E-05,237.13597,-3.0445411
1950/11/1,104,0.5,10,1,1.50E-05,235.23425,11.729296
1950/12/1,104,0.5,10,1,1.48E-05,232.43689,13.642921
1951/1/1,104,0.5,10,1,1.48E-05,231.38983,8.5771675
1951/2/1,104,0.5,10,1,1.50E-05,232.15857,9.511045
1951/3/1,104,0.5,10,1,1.51E-05,235.26028,17.64777
1951/4/1,104,0.5,10,1,1.52E-05,235.00168,9.349911
1951/5/1,104,0.5,10,1,1.52E-05,235.14359,-11.311821
1951/6/1,104,0.5,10,1,1.50E-05,235.87842,-16.121168
1951/7/1,104,0.5,10,1,1.54E-05,235.59457,-11.114225
1951/8/1,104,0.5,10,1,1.60E-05,235.77513,-0.53812885
1951/9/1,104,0.5,10,1,1.60E-05,236.14412,3.2985291
1951/10/1,104,0.5,10,1,1.56E-05,235.2043,5.3497643
1951/11/1,104,0.5,10,1,1.51E-05,234.65634,9.645128
1951/12/1,104,0.5,10,1,1.50E-05,232.75146,11.092991
1952/1/1,104,0.5,10,1,1.50E-05,230.92072,6.0519366
1952/2/1,104,0.5,10,1,1.52E-05,231.17065,3.810162
1952/3/1,104,0.5,10,1,1.55E-05,233.54938,7.9714417
1952/4/1,104,0.5,10,1,1.53E-05,235.53308,8.68067
1952/5/1,104,0.5,10,1,1.51E-05,235.4976,0.46278954
1952/6/1,104,0.5,10,1,1.52E-05,234.57986,-14.025239
1952/7/1,104,0.5,10,1,1.55E-05,234.97328,-7.0423336
1952/8/1,104,0.5,10,1,1.62E-05,234.37643,1.8294959
1952/9/1,104,0.5,10,1,1.63E-05,234.1541,-7.0188103
1952/10/1,104,0.5,10,1,1.58E-05,234.64293,6.0731072
1952/11/1,104,0.5,10,1,1.52E-05,233.22533,15.144886
1952/12/1,104,0.5,10,1,1.49E-05,232.34148,11.342337
1953/1/1,104,0.5,10,1,1.51E-05,230.26553,-0.15822649
1953/2/1,104,0.5,10,1,1.50E-05,233.09839,-5.0169735
1953/3/1,104,0.5,10,1,1.51E-05,235.22717,-9.415839
1953/4/1,104,0.5,10,1,1.48E-05,237.24083,-14.361623
1953/5/1,104,0.5,10,1,1.48E-05,236.61324,-14.465126
